# BVec Raw Data (Entire Vector): 278528 elements
# Format: index,byte_value,hex_value,as_int8,interpretation
0,4,0x4,4,weight
1,4,0x4,4,weight
2,4,0x4,4,weight
3,4,0x4,4,weight
4,4,0x4,4,weight
5,4,0x4,4,weight
6,4,0x4,4,weight
7,4,0x4,4,weight
8,8,0x8,8,weight
9,8,0x8,8,weight
10,8,0x8,8,weight
11,8,0x8,8,weight
12,8,0x8,8,weight
13,8,0x8,8,weight
14,8,0x8,8,weight
15,8,0x8,8,weight
16,4,0x4,4,weight
17,4,0x4,4,weight
18,4,0x4,4,weight
19,4,0x4,4,weight
20,4,0x4,4,weight
21,4,0x4,4,weight
22,4,0x4,4,weight
23,4,0x4,4,weight
24,8,0x8,8,weight
25,8,0x8,8,weight
26,8,0x8,8,weight
27,8,0x8,8,weight
28,8,0x8,8,weight
29,8,0x8,8,weight
30,8,0x8,8,weight
31,8,0x8,8,weight
32,4,0x4,4,weight
33,4,0x4,4,weight
34,4,0x4,4,weight
35,4,0x4,4,weight
36,4,0x4,4,weight
37,4,0x4,4,weight
38,4,0x4,4,weight
39,4,0x4,4,weight
40,8,0x8,8,weight
41,8,0x8,8,weight
42,8,0x8,8,weight
43,8,0x8,8,weight
44,8,0x8,8,weight
45,8,0x8,8,weight
46,8,0x8,8,weight
47,8,0x8,8,weight
48,4,0x4,4,weight
49,4,0x4,4,weight
50,4,0x4,4,weight
51,4,0x4,4,weight
52,4,0x4,4,weight
53,4,0x4,4,weight
54,4,0x4,4,weight
55,4,0x4,4,weight
56,8,0x8,8,weight
57,8,0x8,8,weight
58,8,0x8,8,weight
59,8,0x8,8,weight
60,8,0x8,8,weight
61,8,0x8,8,weight
62,8,0x8,8,weight
63,8,0x8,8,weight
64,4,0x4,4,weight
65,4,0x4,4,weight
66,4,0x4,4,weight
67,4,0x4,4,weight
68,4,0x4,4,weight
69,4,0x4,4,weight
70,4,0x4,4,weight
71,4,0x4,4,weight
72,8,0x8,8,weight
73,8,0x8,8,weight
74,8,0x8,8,weight
75,8,0x8,8,weight
76,8,0x8,8,weight
77,8,0x8,8,weight
78,8,0x8,8,weight
79,8,0x8,8,weight
80,4,0x4,4,weight
81,4,0x4,4,weight
82,4,0x4,4,weight
83,4,0x4,4,weight
84,4,0x4,4,weight
85,4,0x4,4,weight
86,4,0x4,4,weight
87,4,0x4,4,weight
88,8,0x8,8,weight
89,8,0x8,8,weight
90,8,0x8,8,weight
91,8,0x8,8,weight
92,8,0x8,8,weight
93,8,0x8,8,weight
94,8,0x8,8,weight
95,8,0x8,8,weight
96,4,0x4,4,weight
97,4,0x4,4,weight
98,4,0x4,4,weight
99,4,0x4,4,weight
100,4,0x4,4,weight
101,4,0x4,4,weight
102,4,0x4,4,weight
103,4,0x4,4,weight
104,8,0x8,8,weight
105,8,0x8,8,weight
106,8,0x8,8,weight
107,8,0x8,8,weight
108,8,0x8,8,weight
109,8,0x8,8,weight
110,8,0x8,8,weight
111,8,0x8,8,weight
112,4,0x4,4,weight
113,4,0x4,4,weight
114,4,0x4,4,weight
