# BVec Structured Data (Tile Organization)
# Large tiles: 256
# Each large tile: 1024 weights + 32 scale factors
# Format: tile_type,large_tile_idx,small_tile_idx,element_idx,value
# Large Tile 0 (row=0, col=0)
weight,0,0,0,4
weight,0,0,1,4
weight,0,0,2,4
weight,0,0,3,4
weight,0,0,4,4
weight,0,0,5,4
weight,0,0,6,4
weight,0,0,7,4
weight,0,0,8,8
weight,0,0,9,8
weight,0,0,10,8
weight,0,0,11,8
weight,0,0,12,8
weight,0,0,13,8
weight,0,0,14,8
weight,0,0,15,8
weight,0,0,16,4
weight,0,0,17,4
weight,0,0,18,4
weight,0,0,19,4
weight,0,0,20,4
weight,0,0,21,4
weight,0,0,22,4
weight,0,0,23,4
weight,0,0,24,8
weight,0,0,25,8
weight,0,0,26,8
weight,0,0,27,8
weight,0,0,28,8
weight,0,0,29,8
weight,0,0,30,8
weight,0,0,31,8
weight,0,0,32,4
weight,0,0,33,4
weight,0,0,34,4
weight,0,0,35,4
weight,0,0,36,4
weight,0,0,37,4
weight,0,0,38,4
weight,0,0,39,4
weight,0,0,40,8
weight,0,0,41,8
weight,0,0,42,8
weight,0,0,43,8
weight,0,0,44,8
weight,0,0,45,8
weight,0,0,46,8
weight,0,0,47,8
weight,0,0,48,4
weight,0,0,49,4
weight,0,0,50,4
weight,0,0,51,4
weight,0,0,52,4
weight,0,0,53,4
weight,0,0,54,4
weight,0,0,55,4
weight,0,0,56,8
weight,0,0,57,8
weight,0,0,58,8
weight,0,0,59,8
weight,0,0,60,8
weight,0,0,61,8
weight,0,0,62,8
weight,0,0,63,8
weight,0,1,0,4
weight,0,1,1,4
weight,0,1,2,4
weight,0,1,3,4
weight,0,1,4,4
weight,0,1,5,4
weight,0,1,6,4
weight,0,1,7,4
weight,0,1,8,8
weight,0,1,9,8
weight,0,1,10,8
weight,0,1,11,8
weight,0,1,12,8
weight,0,1,13,8
weight,0,1,14,8
weight,0,1,15,8
weight,0,1,16,4
weight,0,1,17,4
weight,0,1,18,4
weight,0,1,19,4
weight,0,1,20,4
weight,0,1,21,4
weight,0,1,22,4
weight,0,1,23,4
weight,0,1,24,8
weight,0,1,25,8
weight,0,1,26,8
